id	postal_code	city	province	country
1	4001	Almeria	Almería	ES
2	4002	Almeria	Almería	ES
3	4002	El Palmer	Almería	ES
4	4003	Almeria	Almería	ES
5	4004	Almeria	Almería	ES
6	4005	Almeria	Almería	ES
7	4006	Almeria	Almería	ES
8	4007	Almeria	Almería	ES
9	4008	Almeria	Almería	ES
10	4009	Almeria	Almería	ES
11	4070	Almeria	Almería	ES
12	4071	Almeria	Almería	ES
13	4080	Almeria	Almería	ES
14	4100	Nijar	Almería	ES
15	4110	Campohermoso	Almería	ES
16	4113	El Viso	Almería	ES
17	4113	Atochares	Almería	ES
18	4114	Torre Del Campo	Almería	ES
19	4114	Tristanes	Almería	ES
20	4114	Polopos	Almería	ES
21	4114	Saladar Y Leche	Almería	ES
22	4114	Los Cortijillos	Almería	ES
23	4114	Venta Del Pobre	Almería	ES
24	4115	Rodalquilar	Almería	ES
25	4116	Fernanperez	Almería	ES
26	4116	Hornillos	Almería	ES
27	4116	Albaricoques	Almería	ES
28	4116	Las Negras	Almería	ES
29	4116	Hortichuelas	Almería	ES
30	4117	El Barranquete	Almería	ES
31	4117	Los Grillos	Almería	ES
32	4117	Cuevas Del Lino	Almería	ES
33	4117	San Isidro De Nijar	Almería	ES
34	4117	Presillas Bajas	Almería	ES
35	4117	Pueblo Blanco	Almería	ES
36	4117	Los Nietos	Almería	ES
37	4117	Pozo De Los Frailes	Almería	ES
38	4117	Boca De Los Frailes	Almería	ES
39	4118	Los Escullos	Almería	ES
40	4118	La Isleta	Almería	ES
41	4118	San Jose	Almería	ES
42	4119	Huebro	Almería	ES
43	4120	Costacabana	Almería	ES
44	4120	Venta Gaspar	Almería	ES
45	4120	La Cañada De San Urbano	Almería	ES
46	4120	Loma Cabrera	Almería	ES
47	4120	El Mami	Almería	ES
48	4120	El Bobar	Almería	ES
49	4130	El Alquian	Almería	ES
50	4131	Retamar	Almería	ES
51	4140	Carboneras	Almería	ES
52	4140	La Cañada De Don Rodrigo	Almería	ES
53	4149	Gafares (Carboneras)	Almería	ES
54	4149	Gafares (Sorbas)	Almería	ES
55	4149	Los Alamillos	Almería	ES
56	4149	Aguamarga	Almería	ES
57	4149	La Islica	Almería	ES
58	4149	El Cañarico	Almería	ES
59	4149	El Saltador Alto	Almería	ES
60	4149	El Saltador Bajo	Almería	ES
61	4149	El Llano De Don Antonio	Almería	ES
62	4149	La Cueva Del Pajaro	Almería	ES
63	4149	La Mesa Roldan	Almería	ES
64	4149	El Argamason	Almería	ES
65	4149	El Cumbrero	Almería	ES
66	4150	El Cabo De Gata	Almería	ES
67	4150	Rambla Morales	Almería	ES
68	4151	Ruescas (Almeria)	Almería	ES
